Epoch,Loss,Accuracy,Val_Loss,Val_Accuracy
1,0.4428958594799042,0.8710088133811951,3.594918966293335,0.19085487723350525
2,0.14898554980754852,0.9583084583282471,0.15623265504837036,0.9508548974990845
3,0.1181933581829071,0.9650682210922241,0.12405233830213547,0.9644532799720764
4,0.10396182537078857,0.9685673117637634,0.19121985137462616,0.938051700592041
5,0.0950329378247261,0.9708735942840576,0.16113536059856415,0.9530019760131836
6,0.08852612227201462,0.9726032614707947,0.18535150587558746,0.9499801397323608
7,0.08521650731563568,0.9737961888313293,0.08400396257638931,0.9759045839309692
8,0.07577870786190033,0.9764801859855652,0.21081212162971497,0.9326441287994385
9,0.07361819595098495,0.9770169854164124,0.06953269243240356,0.9804373979568481
10,0.0715537965297699,0.9777327179908752,0.07465744763612747,0.9790059924125671
11,0.06671936810016632,0.9792834520339966,0.11026076227426529,0.9676342010498047
12,0.06693420559167862,0.9789255857467651,0.08312113583087921,0.9763022065162659
13,0.06258901208639145,0.9806155562400818,0.06733512878417969,0.9811530709266663
14,0.0597219280898571,0.9813710451126099,0.07781026512384415,0.9772564768791199
15,0.05848180130124092,0.9822259545326233,0.11513261497020721,0.9646918773651123
16,0.05768508464097977,0.9814505577087402,0.13066238164901733,0.9623857140541077
17,0.05725402384996414,0.9819873571395874,0.11517925560474396,0.969860851764679
18,0.05538880452513695,0.9817686676979065,0.059539660811424255,0.9840158820152283
19,0.05380386859178543,0.982901930809021,0.1790718138217926,0.9414711594581604
20,0.050291191786527634,0.9830012917518616,0.06657502055168152,0.9822664260864258
21,0.049428876489400864,0.9847111105918884,0.07539448142051697,0.9786083698272705
22,0.051392488181591034,0.9839556217193604,0.056830424815416336,0.985924482345581
23,0.04652676731348038,0.9853672385215759,0.060603611171245575,0.9838568568229675
24,0.04699446260929108,0.9855859279632568,0.07503357529640198,0.9807554483413696
25,0.04410586878657341,0.9852876663208008,0.08632409572601318,0.9767793416976929
26,0.04692777618765831,0.9847906231880188,0.06602206081151962,0.9822664260864258
27,0.04464762657880783,0.985824465751648,0.059086985886096954,0.9840954542160034
28,0.04445686191320419,0.9853870868682861,0.12199778109788895,0.9672365784645081
29,0.041019897907972336,0.9862022399902344,0.07830572873353958,0.977972149848938
30,0.04514602571725845,0.9857847094535828,0.06877265870571136,0.9825844764709473
31,0.04104199260473251,0.9862817525863647,0.07182717323303223,0.9827435612678528
32,0.0393148697912693,0.9869179725646973,0.07433445006608963,0.9788469076156616
33,0.039457645267248154,0.987076997756958,0.12073452025651932,0.9673160910606384
